location;	latitude;	longitude;	films
San Fernando Valley Los Angeles California USA;	34.2148853;	-118.4998204;	"A Place in the Sun" /Dropping Out 
San Antonio Texas USA;	29.4246002;	-98.4951405;	Living the Life /Panorama 2000 /Up Syndrome /Dying for Attention /A Lowrider Spring Break En San Quilmas /"San Antonio Living" /"Turning Point" /Hangman /"Discovery Jones Expeditions" /Flipside /All the Pretty Horses /Atomic Hillbilly /Miss Congeniality 
Texas Renaissance Festival Todd Mission Texas USA;	30.25606545;	-95.83987086547651;	"Discovery Jones Expeditions" 
Universal City California USA;	34.1412926;	-118.3584364;	"Gilmore Girls" 
Portland Oregon USA;	45.5202471;	-122.6741949;	Dream of Death /Mean Anything /Slingshot /Pay It Forward /"Medal of Honor" /Going the Distance /"Jackass" /Eban and Charley /Men of Honor 
Selma Alabama USA;	32.4078632;	-87.0207473;	"Parting the Waters" 
Mission Bay San Diego California USA;	32.7792158;	-117.2342029;	Traffic /Adventures in Wild California 
Helotes Texas USA;	29.5635688;	-98.6884208;	All the Pretty Horses 
San Fernando California USA;	34.28497;	-118.437652;	Bring Him Home 
Corpus Christi Texas USA;	27.7477253;	-97.4014129;	Dark Blood 
Mission Beach California USA;	32.7825908;	-117.2524943;	Deadfall 
Portland Maine USA;	43.6610277;	-70.2548596;	Follow Me Outside 
San Juan Capistrano California USA;	33.5016932;	-117.6625509;	Lucky Larry 
Pleasanton California USA;	37.6624312;	-121.8746789;	X Factor 
